Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod) 
January,358900820.135999,358900820.135999,95313248.13599995,358900820.135999,358900820.135999,95313248.13599995 
July,358900820.135999,358900820.135999,95313248.13599995,358900820.135999,358900820.135999,95313248.13599995 
January,379144341.86399897,379144341.86399897,115556769.86399998,379144341.86399897,379144341.86399897,115556769.86399998 
